seed_idx,generation,bsf
278,36,1.3706951141357422
278,37,1.3706951141357422
278,38,1.3358550071716309
278,39,1.3358550071716309
278,40,1.3358550071716309
278,41,1.3358550071716309
278,42,1.3358550071716309
278,43,1.3358550071716309
278,44,1.3358550071716309
278,45,1.3358550071716309
278,46,1.3358550071716309
278,47,1.3358550071716309
278,48,1.3358550071716309
278,49,1.3358550071716309
282,0,0.10103368759155273
282,1,0.10103368759155273
282,2,0.07304143905639648
282,3,0.06252622604370117
282,4,0.06252622604370117
282,5,0.06252622604370117
282,6,0.03184318542480469
282,7,0.03184318542480469
282,8,0.0033655166625976562
282,9,0.0033655166625976562
282,10,0.0033655166625976562
282,11,0.0033655166625976562
282,12,0.0033655166625976562
282,13,0.0033655166625976562
282,14,0.0033655166625976562
282,15,0.0033655166625976562
282,16,0.0033655166625976562
282,17,0.0033655166625976562
282,18,0.0033655166625976562
282,19,0.0009484291076660156
282,20,0.0009484291076660156
282,21,0.0009484291076660156
282,22,0.0009484291076660156
282,23,0.0009484291076660156
282,24,0.0009484291076660156
282,25,0.0009484291076660156
282,26,0.0009484291076660156
282,27,0.0009484291076660156
282,28,0.0009484291076660156
282,29,0.0009484291076660156
282,30,0.0009484291076660156
282,31,0.0009484291076660156
282,32,0.0009484291076660156
282,33,0.0009484291076660156
282,34,0.0009484291076660156
282,35,0.0009484291076660156
282,36,0.0009484291076660156
282,37,0.0009484291076660156
282,38,0.0009484291076660156
282,39,0.0009484291076660156
282,40,0.0009484291076660156
282,41,0.0009484291076660156
282,42,0.0009484291076660156
282,43,0.0009484291076660156
282,44,0.0009484291076660156
282,45,0.0009484291076660156
282,46,0.0009484291076660156
282,47,0.0009484291076660156
282,48,0.0009484291076660156
282,49,0.0009484291076660156
28,0,4.610306739807129
28,1,4.610306739807129
28,2,3.894242286682129
28,3,3.2013864517211914
28,4,2.8303260803222656
28,5,2.1512255668640137
28,6,2.0272040367126465
28,7,2.0272040367126465
28,8,2.0272040367126465
28,9,2.0272040367126465
28,10,2.018245220184326
28,11,2.018245220184326
28,12,2.018245220184326
28,13,2.018245220184326
28,14,2.018245220184326
28,15,2.018245220184326
28,16,1.4701343774795532
28,17,1.4266321659088135
28,18,1.4266321659088135
28,19,1.4266321659088135
28,20,1.4266321659088135
28,21,1.4211485385894775
28,22,1.1159507036209106
28,23,1.034705400466919
28,24,1.034705400466919
28,25,0.9772912263870239
28,26,0.9772912263870239
28,27,0.9772912263870239
28,28,0.8914218544960022
28,29,0.8234335780143738
28,30,0.8234335780143738
28,31,0.8234335780143738
28,32,0.8234335780143738
28,33,0.8234335780143738
28,34,0.8234335780143738
28,35,0.8234335780143738
28,36,0.8234335780143738
28,37,0.8234335780143738
28,38,0.8234335780143738
28,39,0.6231383085250854
28,40,0.6231383085250854
28,41,0.6231383085250854
28,42,0.6231383085250854
28,43,0.6231383085250854
28,44,0.6231383085250854
28,45,0.6231383085250854
28,46,0.6231383085250854
28,47,0.6231383085250854
28,48,0.6231383085250854
28,49,0.6231383085250854
29,0,4.429581642150879
29,1,3.0521140098571777
29,2,3.0314643383026123
29,3,2.831167697906494
29,4,2.240997076034546
29,5,2.0427303314208984
29,6,2.0427303314208984
29,7,2.0427303314208984
29,8,2.0427303314208984
29,9,2.0427303314208984
29,10,1.9256248474121094
29,11,1.9256248474121094
29,12,1.9256248474121094
29,13,1.9256248474121094
29,14,1.8242254257202148
29,15,1.409430980682373
29,16,1.377471923828125
29,17,1.3041956424713135
29,18,1.3041956424713135
29,19,1.2936753034591675
29,20,1.2936753034591675
29,21,1.2936753034591675
29,22,1.2936753034591675
29,23,1.2936753034591675
29,24,1.1221814155578613
29,25,1.1221814155578613
29,26,1.1221814155578613
29,27,1.071124792098999
29,28,1.071124792098999
29,29,1.071124792098999
29,30,1.071124792098999
29,31,1.071124792098999
29,32,0.855035126209259
29,33,0.855035126209259
29,34,0.855035126209259
29,35,0.855035126209259
29,36,0.855035126209259
29,37,0.855035126209259
29,38,0.855035126209259
29,39,0.855035126209259
29,40,0.855035126209259
29,41,0.855035126209259
29,42,0.855035126209259
29,43,0.855035126209259
29,44,0.855035126209259
29,45,0.855035126209259
29,46,0.855035126209259
29,47,0.855035126209259
29,48,0.855035126209259
29,49,0.855035126209259
2,0,0.0028420686721801758
2,1,0.0028420686721801758
2,2,0.0028420686721801758
2,3,0.0028420686721801758
2,4,0.0028420686721801758
2,5,0.0028420686721801758
2,6,0.0028420686721801758
2,7,0.0028420686721801758
2,8,0.0028420686721801758
2,9,0.0028420686721801758
2,10,0.0028420686721801758
2,11,0.0019031763076782227
2,12,0.0019031763076782227
2,13,0.0004336833953857422
2,14,0.0004336833953857422
2,15,0.0004336833953857422
