cell_id,anchor,target,la,lt,anchor_word,target_word,common_ancestor_level,stratum,n,probe,min_gen0,min_tgtbal_10,min_tgtbal_20,min_tgtbal_50,dex_eroded_10,dex_eroded_20,dex_eroded_50,dex_eroded_min_50,crossed_50_frac,crossed_50_any,gen_first_cross_mean,n_cross_rows,stuck_frac,stuck_any,pop0_p_class_a_median,runtime_seconds
"junco->boa constrictor(0,0)",junco,boa constrictor,0,0,sparrow,constrictor,,wall_repl,1,1.9882236123085022,1.150118350982666,0.009900927543640137,0.0034351348876953125,0.0005769729614257812,2.302789344913315,2.762521432005472,3.5373097658365174,3.299587071619059,1.0,True,2.0,204.0,0.0,False,0.87955442070961,3167.6995708942413
"junco->boa constrictor(0,1)",junco,boa constrictor,0,1,sparrow,snake,,wall_repl,2,9.340611696243286,4.519944190979004,2.0349671840667725,1.3601537346839905,0.7390867173671722,0.6590023689899926,0.8344879693495928,1.1042724150866152,0.7917620622040127,0.0,False,,0.0,1.0,True,0.9998552054166794,3155.664040207863
"junco->boa constrictor(0,2)",junco,boa constrictor,0,2,sparrow,reptile,,wall_repl,1,1.6489410996437073,0.5080482959747314,0.07610964775085449,0.07610964775085449,0.006652355194091797,1.335765430922186,1.335765430922186,2.394229713104079,1.8829295692811805,1.0,True,9.0,32.0,0.0,False,0.8387045860290527,3142.2769763469696
"junco->cello(0,0)",junco,cello,0,0,sparrow,cello,,wall_repl,1,2.7420679330825806,1.6762728691101074,0.577852725982666,0.49907100200653076,0.49907100200653076,0.6762610435972757,0.7399158735941458,0.7399158735941458,0.5261823795299642,0.0,False,,0.0,1.0,True,0.939151406288147,3166.9595670700073
"junco->cello(1,0)",junco,cello,1,0,songbird,cello,,wall_repl,1,3.3700013160705566,0.7914912700653076,0.655029833316803,0.3441193103790283,0.3261798024177551,0.7113689901011548,0.9909210265783356,1.0141730051559985,0.3849890637557598,0.0,False,,0.0,1.0,True,0.9666680097579956,3156.0784690380096
"junco->cello(2,0)",junco,cello,2,0,bird,cello,,wall_repl,1,2.205866813659668,0.010447502136230469,0.00519561767578125,0.0002455711364746094,0.0002455711364746094,2.6279421013372546,3.953401966864774,3.953401966864774,1.6288351485195143,1.0,True,0.0,312.0,0.0,False,0.8675804138183594,3234.0809166431427
"junco->ostrich(0,0)",junco,ostrich,0,0,sparrow,ratite,2.0,within_bucket,2,1.9949156045913696,1.4256659150123596,0.9123950004577637,0.802718997001648,0.2847820520401001,0.34760082661967684,0.3967888486250365,1.6674697690130655,1.5218277418569182,0.5,True,21.0,32.5,0.5,True,0.880023255944252,3144.865287423134
"junco->ostrich(0,1)",junco,ostrich,0,1,sparrow,flightless bird,2.0,within_bucket,1,0.3545381426811218,0.0028420686721801758,0.0028420686721801758,0.0004336833953857422,5.245208740234375e-05,2.0960283977658887,2.91249017077498,3.829900189016257,1.7338717912503685,1.0,True,0.0,514.0,0.0,False,0.5180826783180237,3210.221535205841
"junco->ostrich(1,1)",junco,ostrich,1,1,songbird,flightless bird,2.0,within_bucket,1,0.3288828730583191,0.019653379917144775,0.0014420747756958008,0.0010533332824707031,0.0007059574127197266,2.3580534773264348,2.4944754507751496,2.6682627549212667,1.4446587467459027,1.0,True,0.0,331.0,0.0,False,0.5796365737915039,3150.9185988903046
"marimba->boa constrictor(0,0)",marimba,boa constrictor,0,0,marimba,constrictor,,cross_breadth,1,1.572641909122467,0.4910163879394531,0.003066420555114746,0.0012662410736083984,0.0012662410736083984,2.7099981274805085,3.0941134481280725,3.0941134481280725,2.588579590368246,1.0,True,0.0,48.0,0.0,False,0.8281579911708832,3178.912260532379
"marimba->boa constrictor(1,1)",marimba,boa constrictor,1,1,percussion instrument,snake,,cross_breadth,1,11.800506591796875,4.392861843109131,3.2479629516601562,2.837155818939209,2.7805285453796387,0.560289585065871,0.6190174635607791,0.6277732938460974,0.19862018680470223,0.0,False,,0.0,1.0,True,0.9999924302101135,3169.01864695549
"marimba->cello(0,0)",marimba,cello,0,0,marimba,cello,2.0,within_bucket,1,1.97549307346344,1.161414623260498,1.0718564987182617,0.8983674645423889,0.49083489179611206,0.2655388658390324,0.3422214962415262,0.6047400836015263,0.37405186221053455,0.0,False,,0.0,1.0,True,0.878192126750946,3184.0440015792847
