seed_idx,run_dir,anchor,target,la,lt,anchor_word,target_word,common_ancestor_level,stratum,seed_idx_in_class,cell_id,n_in_cell,probe,min_gen0,min_tgtbal_10,min_tgtbal_20,min_tgtbal_50,dex_eroded_10,dex_eroded_20,dex_eroded_50,dex_eroded_min_50,crossed_50,gen_first_cross,n_cross_rows,stuck,pop0_p_class_a_median,runtime_seconds
56,exp101_margin_predictor_seed_56_1781110777,junco,cello,2,0,bird,cello,,wall_repl,0,"junco->cello(2,0)",1,2.205866813659668,0.010447502136230469,0.00519561767578125,0.0002455711364746094,0.0002455711364746094,2.6279421013372546,3.953401966864774,3.953401966864774,1.6288351485195143,True,0.0,312,False,0.8675804138183594,3234.0809166431427
80,exp101_margin_predictor_seed_80_1781110807,ostrich,junco,0,0,ratite,sparrow,2.0,within_bucket,0,"ostrich->junco(0,0)",1,1.4885967373847961,0.5720856189727783,0.11257970333099365,0.018342971801757812,0.01395881175994873,1.1213169629199982,1.9093073643663767,2.027928612135837,1.6126125799935584,True,34.0,1,False,0.8157727420330048,3236.907065629959
82,exp101_margin_predictor_seed_82_1781114237,ostrich,junco,0,1,ratite,songbird,2.0,within_bucket,0,"ostrich->junco(0,1)",1,1.5937923192977905,0.7226603031158447,0.4649393558502197,0.2512247562408447,0.1414945125579834,0.5350354199858601,0.802369296061258,1.0516921321973471,0.7081946015113066,False,,0,True,0.8311440050601959,3210.916973590851
86,exp101_margin_predictor_seed_86_1781114206,ostrich,junco,1,1,flightless bird,songbird,2.0,within_bucket,0,"ostrich->junco(1,1)",1,3.0868395566940308,2.2013115882873535,1.5061792135238647,1.4905550479888916,1.4324462413787842,0.3116374072389164,0.31616603725300874,0.3334357247321978,0.18660318763201775,False,,0,True,0.9563410580158234,3208.0785188674927
88,exp101_margin_predictor_seed_88_1781117589,ostrich,green iguana,0,0,ratite,iguana,,cross_breadth,0,"ostrich->green iguana(0,0)",1,2.6962504386901855,1.1855881214141846,0.05822396278381348,0.02725815773010254,0.0007593631744384766,1.6656584681264974,1.995263728509095,3.550310696708186,3.193484307331494,True,6.0,126,False,0.9364925622940063,3184.142977952957
96,exp101_margin_predictor_seed_96_1781117566,ostrich,green iguana,1,1,flightless bird,lizard,,cross_breadth,0,"ostrich->green iguana(1,1)",1,2.443018913269043,1.7551019191741943,1.0148895978927612,0.9680123329162598,0.8794098496437073,0.38150802795987904,0.4020459387382644,0.44373550365636055,0.30011101558082787,False,,0,True,0.9200124144554138,3178.0222070217133
196,exp101_margin_predictor_seed_196_1781120891,green iguana,boa constrictor,0,0,iguana,constrictor,2.0,within_bucket,0,"green iguana->boa constrictor(0,0)",1,0.649921178817749,0.11415266990661621,0.0017108917236328125,0.0017108917236328125,0.0017108917236328125,2.5796381640141046,2.5796381640141046,2.5796381640141046,1.8242635481915015,True,2.0,94,False,0.6569926738739014,3182.134073972702
198,exp101_margin_predictor_seed_198_1781120895,green iguana,boa constrictor,0,1,iguana,snake,2.0,within_bucket,0,"green iguana->boa constrictor(0,1)",1,6.946902275085449,4.908804893493652,3.4625301361083984,3.1010701656341553,2.2525534629821777,0.3023976275511504,0.3502795967089238,0.4891160820312937,0.33830066338494696,False,,0,True,0.9990361034870148,3210.069633245468
202,exp101_margin_predictor_seed_202_1781124229,green iguana,boa constrictor,1,1,lizard,snake,2.0,within_bucket,0,"green iguana->boa constrictor(1,1)",2,7.095954895019531,5.142113208770752,3.5336992740631104,2.9145216941833496,2.9145216941833496,0.30278125898363445,0.3864435539378312,0.3864435539378312,0.24657434151024812,False,,0,True,0.9991722106933594,3146.248372554779
203,exp101_margin_predictor_seed_203_1781124238,green iguana,boa constrictor,1,1,lizard,snake,2.0,within_bucket,1,"green iguana->boa constrictor(1,1)",2,6.237597465515137,4.1248273849487305,3.588752269744873,2.6846070289611816,2.21543550491333,0.2400738645695779,0.3661366218056036,0.4495582332460473,0.26994666748469553,False,,0,True,0.9980406761169434,3167.3945775032043
204,exp101_margin_predictor_seed_204_1781127550,green iguana,cello,0,0,iguana,cello,,cross_breadth,0,"green iguana->cello(0,0)",2,3.533539056777954,2.6146652698516846,1.7281235456466675,1.2854448556900024,0.8359609842300415,0.3106351085127119,0.43915644542858057,0.6260238873799122,0.49523008964151854,False,,0,True,0.9716225266456604,3139.9671099185944
205,exp101_margin_predictor_seed_205_1781127556,green iguana,cello,0,0,iguana,cello,,cross_breadth,1,"green iguana->cello(0,0)",2,3.3284305334091187,2.3189244270324707,1.8370118141174316,1.8370118141174316,1.791900873184204,0.25812754803120835,0.25812754803120835,0.26892551626714056,0.11197261426115844,False,,0,True,0.9651361405849457,3167.063336610794
212,exp101_margin_predictor_seed_212_1781130916,green iguana,cello,1,1,lizard,string instrument,,cross_breadth,0,"green iguana->cello(1,1)",1,1.8964745998382568,1.2479819059371948,0.7309460639953613,0.6501975059509277,0.3563251495361328,0.41406169856601477,0.46490173113445116,0.7261005543487894,0.5443618126370565,False,,0,True,0.8694915175437927,3115.3728082180023
240,exp101_margin_predictor_seed_240_1781130952,boa constrictor,junco,0,0,constrictor,sparrow,,wall_repl,0,"boa constrictor->junco(0,0)",1,5.46095609664917,3.114429235458374,2.508661985397339,2.213167905807495,2.101504325866699,0.3378265361864705,0.3922543213610524,0.41473839671850166,0.17084817917388564,False,,0,True,0.9957685470581055,3112.22794175148
242,exp101_margin_predictor_seed_242_1781134317,boa constrictor,junco,0,1,constrictor,songbird,,wall_repl,0,"boa constrictor->junco(0,1)",2,4.404975414276123,2.6781327724456787,1.9965600967407227,1.9518283605575562,1.9518283605575562,0.343661101751605,0.35350186468438743,0.35350186468438743,0.1373904798899759,False,,0,True,0.9879302978515625,3151.405678510666
243,exp101_margin_predictor_seed_243_1781134235,boa constrictor,junco,0,1,constrictor,songbird,,wall_repl,1,"boa constrictor->junco(0,1)",2,2.6507097482681274,1.9542477130889893,1.6528714895248413,1.629377841949463,1.27214515209198,0.20512308668976953,0.21134036924577262,0.31882550799953463,0.18644294515415596,False,,0,True,0.9340499341487885,3204.0453407764435
244,exp101_margin_predictor_seed_244_1781137631,boa constrictor,junco,0,2,constrictor,bird,,wall_repl,0,"boa constrictor->junco(0,2)",1,9.406179904937744,7.2713141441345215,5.488755702972412,5.150406360626221,3.985894203186035,0.2339393795569109,0.2615717852288785,0.37288751379028445,0.26108714084268325,False,,0,True,0.9999143481254578,3148.22301197052
276,exp101_margin_predictor_seed_276_1781137538,boa constrictor,green iguana,0,0,constrictor,iguana,2.0,within_bucket,0,"boa constrictor->green iguana(0,0)",1,6.0165855884552,4.450081825256348,3.370677947998047,3.370677947998047,1.402856469154358,0.25163283934006575,0.25163283934006575,0.6323368598938419,0.5013547573746032,False,,0,True,0.9975670874118805,3210.9665865898132
278,exp101_margin_predictor_seed_278_1781140885,boa constrictor,green iguana,0,1,constrictor,lizard,2.0,within_bucket,0,"boa constrictor->green iguana(0,1)",1,4.243100881576538,3.0974857807159424,1.6181917190551758,1.3706951141357422,1.3358550071716309,0.4186533830495245,0.49074249270171433,0.5019240347717204,0.36524999872659897,False,,0,True,0.985835611820221,3125.5121552944183
282,exp101_margin_predictor_seed_282_1781140898,boa constrictor,green iguana,1,1,snake,lizard,2.0,within_bucket,0,"boa constrictor->green iguana(1,1)",1,1.498214840888977,0.10103368759155273,0.0033655166625976562,0.0009484291076660156,0.0009484291076660156,2.648522349673246,3.198569220572761,3.198569220572761,2.0274613302528777,True,0.0,369,False,0.8168774545192719,3140.676898241043
302,exp101_margin_predictor_seed_302_1781144176,boa constrictor,marimba,0,0,constrictor,marimba,,cross_breadth,0,"boa constrictor->marimba(0,0)",1,2.4594762325286865,1.5859267711639404,0.8615586757659912,0.678661584854126,0.5585293769836426,0.4555577699835779,0.5591893630902995,0.6437966094037861,0.4532371096116339,False,,0,True,0.9211105704307556,3120.0819973945618
310,exp101_margin_predictor_seed_310_1781144179,boa constrictor,marimba,1,1,snake,percussion instrument,,cross_breadth,0,"boa constrictor->marimba(1,1)",1,1.2975102663040161,0.10573172569274902,0.009675979614257812,0.004661083221435547,2.47955322265625e-05,2.1274158581050884,2.4446239456825505,4.718737368115656,3.629831885879641,True,0.0,779,False,0.25343234091997147,3143.901967525482
320,exp101_margin_predictor_seed_320_1781147477,cello,junco,0,0,cello,sparrow,,wall_repl,0,"cello->junco(0,0)",1,1.5225039720535278,0.45412564277648926,0.13927853107452393,0.13927853107452393,0.13927853107452393,1.0386742565648022,1.0386742565648022,1.0386742565648022,0.5132918478079206,False,,0,True,0.8208769261837006,3123.4701659679413
322,exp101_margin_predictor_seed_322_1781147430,cello,junco,0,1,cello,songbird,,wall_repl,0,"cello->junco(0,1)",1,0.3112848997116089,0.011018991470336914,0.0010912418365478516,0.0010912418365478516,0.0010175704956054688,2.455237045946699,2.455237045946699,2.485593547621566,1.0345773407383292,True,0.0,205,False,0.5771921277046204,3139.0736713409424
324,exp101_margin_predictor_seed_324_1781150752,cello,junco,0,2,cello,bird,,wall_repl,0,"cello->junco(0,2)",1,5.351153373718262,3.6866354942321777,2.3963141441345215,2.307035207748413,1.7384778261184692,0.34890364765324255,0.36539317646111197,0.48827824308750417,0.3264610443479791,False,,0,True,0.9952773451805115,3166.245041370392
338,exp101_margin_predictor_seed_338_1781150725,cello,ostrich,0,0,cello,ratite,,cross_breadth,0,"cello->ostrich(0,0)",1,0.6354987621307373,0.08178997039794922,0.0003426074981689453,0.0003426074981689453,0.0003426074981689453,3.2683178454148214,3.2683178454148214,3.2683178454148214,2.3779031874810737,True,1.0,80,False,0.6537050604820251,3160.5910844802856
354,exp101_margin_predictor_seed_354_1781154041,cello,ostrich,2,2,musical instrument,bird,,cross_breadth,0,"cello->ostrich(2,2)",1,16.0051531791687,11.434743881225586,7.77838134765625,7.167071342468262,6.011334419250488,0.3133706036466991,0.3489181074199901,0.4252889458931255,0.2792555525230301,False,,0,True,0.9999998807907104,3163.108894109726
392,exp101_margin_predictor_seed_392_1781153992,cello,marimba,0,0,cello,marimba,2.0,within_bucket,0,"cello->marimba(0,0)",2,0.3366163969039917,0.02733445167541504,0.0014090538024902344,0.0002484321594238281,0.0001556873321533203,2.378207690777555,3.131927452695305,3.3348819903837366,2.244457089771905,True,0.0,985,False,0.4254034161567688,3179.569271802902
393,exp101_margin_predictor_seed_393_1781157361,cello,marimba,0,0,cello,marimba,2.0,within_bucket,1,"cello->marimba(0,0)",2,0.23390865325927734,0.0023157596588134766,0.0013818740844726562,0.0013818740844726562,0.00032901763916015625,2.2285778162838725,2.2285778162838725,2.851827106681773,0.8474743023345571,True,0.0,477,False,0.5035074651241302,3187.8276159763336
394,exp101_margin_predictor_seed_394_1781157322,cello,marimba,0,1,cello,percussion instrument,2.0,within_bucket,0,"cello->marimba(0,1)",1,0.2686898708343506,0.05729937553405762,0.0026137828826904297,8.273124694824219e-05,5.7220458984375e-05,2.0119817850540214,3.511581724371708,3.6716999574509757,3.0005985518164118,True,0.0,732,False,0.45663411915302277,3194.1079659461975
398,exp101_margin_predictor_seed_398_1781160584,cello,marimba,1,1,string instrument,percussion instrument,2.0,within_bucket,0,"cello->marimba(1,1)",1,0.3612176179885864,0.09931635856628418,0.0007929801940917969,0.0007929801940917969,0.0007929801940917969,2.658506584113694,2.658506584113694,2.658506584113694,2.097758447493839,True,0.0,404,False,0.5806735754013062,3192.182009458542
454,exp101_margin_predictor_seed_454_1781160567,marimba,boa constrictor,0,0,marimba,constrictor,,cross_breadth,0,"marimba->boa constrictor(0,0)",1,1.572641909122467,0.4910163879394531,0.003066420555114746,0.0012662410736083984,0.0012662410736083984,2.7099981274805085,3.0941134481280725,3.0941134481280725,2.588579590368246,True,0.0,48,False,0.8281579911708832,3178.912260532379
462,exp101_margin_predictor_seed_462_1781163938,marimba,boa constrictor,1,1,percussion instrument,snake,,cross_breadth,0,"marimba->boa constrictor(1,1)",1,11.800506591796875,4.392861843109131,3.2479629516601562,2.837155818939209,2.7805285453796387,0.560289585065871,0.6190174635607791,0.6277732938460974,0.19862018680470223,False,,0,True,0.9999924302101135,3169.01864695549
472,exp101_margin_predictor_seed_472_1781163955,marimba,cello,0,0,marimba,cello,2.0,within_bucket,0,"marimba->cello(0,0)",1,1.97549307346344,1.161414623260498,1.0718564987182617,0.8983674645423889,0.49083489179611206,0.2655388658390324,0.3422214962415262,0.6047400836015263,0.37405186221053455,False,,0,True,0.878192126750946,3184.0440015792847
474,exp101_margin_predictor_seed_474_1781167327,marimba,cello,0,1,marimba,string instrument,2.0,within_bucket,0,"marimba->cello(0,1)",1,1.779529333114624,1.041562557220459,0.8518640995025635,0.7178593873977661,0.5631986856460571,0.3199348351917616,0.394265767156426,0.49964351854226363,0.26702372659055196,False,,0,True,0.8556291460990906,3187.6610095500946
478,exp101_margin_predictor_seed_478_1781167253,marimba,cello,1,1,percussion instrument,string instrument,2.0,within_bucket,0,"marimba->cello(1,1)",1,2.1474190950393677,1.6409533023834229,0.8258271217346191,0.8258271217346191,0.7728545665740967,0.4150276687451727,0.4150276687451727,0.4438190331859201,0.3269984448543669,False,,0,True,0.8954168260097504,3229.540817975998
