sut,cell,arm,rep,gen,cum_own_hv
qwen,278,raw,1,20,0.9773190687837559
qwen,278,raw,1,21,0.9773190687837559
qwen,278,raw,1,22,0.978379431076272
qwen,278,raw,1,23,0.978379431076272
qwen,278,raw,1,24,0.980290175178339
qwen,278,raw,1,25,0.980290175178339
qwen,278,raw,1,26,0.980290175178339
qwen,278,raw,1,27,0.980290175178339
qwen,278,raw,1,28,0.980290175178339
qwen,278,raw,1,29,0.980290175178339
qwen,278,raw,1,30,0.980290175178339
qwen,278,raw,1,31,0.9808236761384657
qwen,278,raw,1,32,0.9808451442218764
qwen,278,raw,1,33,0.9808451442218764
qwen,278,raw,1,34,0.9815921585632724
qwen,278,raw,1,35,0.9818893926112413
qwen,278,raw,1,36,0.9818893926112413
qwen,278,raw,1,37,0.9818893926112413
qwen,278,raw,1,38,0.9819022075231073
qwen,278,raw,1,39,0.9819022075231073
qwen,278,raw,1,40,0.9819089373820388
qwen,278,raw,1,41,0.9819089373820388
qwen,278,raw,1,42,0.9819116151662547
qwen,278,raw,1,43,0.9819556223079454
qwen,278,raw,1,44,0.9819556223079454
qwen,278,raw,1,45,0.9819556223079454
qwen,278,raw,1,46,0.9819556223079454
qwen,278,raw,1,47,0.9819556223079454
qwen,278,raw,1,48,0.9819556223079454
qwen,278,raw,1,49,0.9819556223079454
qwen,454,raw,1,0,0.23759525517622626
qwen,454,raw,1,1,0.23759525517622626
qwen,454,raw,1,2,0.23759525517622626
qwen,454,raw,1,3,0.2464802463849386
qwen,454,raw,1,4,0.3028610249360403
qwen,454,raw,1,5,0.30391307132778456
qwen,454,raw,1,6,0.3210006766826491
qwen,454,raw,1,7,0.32112386183594954
qwen,454,raw,1,8,0.403571419494144
qwen,454,raw,1,9,0.4257720875828204
qwen,454,raw,1,10,0.45102349050826174
qwen,454,raw,1,11,0.45102349050826174
qwen,454,raw,1,12,0.4506068673658696
qwen,454,raw,1,13,0.4552253355040079
qwen,454,raw,1,14,0.45681230957801033
qwen,454,raw,1,15,0.45681230957801033
qwen,454,raw,1,16,0.46354758886957326
qwen,454,raw,1,17,0.46340399497401585
qwen,454,raw,1,18,0.46338374085461587
qwen,454,raw,1,19,0.46338374085461587
qwen,454,raw,1,20,0.46354008105766786
qwen,454,raw,1,21,0.47542695745198527
qwen,454,raw,1,22,0.5454070932730879
qwen,454,raw,1,23,0.5454070932730879
qwen,454,raw,1,24,0.5603600220841624
qwen,454,raw,1,25,0.5705642885824114
qwen,454,raw,1,26,0.5705642885824114
qwen,454,raw,1,27,0.5701952385922748
qwen,454,raw,1,28,0.5704421569700264
qwen,454,raw,1,29,0.5704421569700264
qwen,454,raw,1,30,0.5702739989086224
qwen,454,raw,1,31,0.5707886231060865
qwen,454,raw,1,32,0.5783215414677598
qwen,454,raw,1,33,0.5939820765499639
qwen,454,raw,1,34,0.5939820765499639
qwen,454,raw,1,35,0.593514288719468
qwen,454,raw,1,36,0.593514288719468
qwen,454,raw,1,37,0.593514288719468
qwen,454,raw,1,38,0.5932766359142612
qwen,454,raw,1,39,0.5932766359142612
qwen,454,raw,1,40,0.5932766359142612
qwen,454,raw,1,41,0.5958369368172344
qwen,454,raw,1,42,0.6219240497539205
qwen,454,raw,1,43,0.6219240497539205
qwen,454,raw,1,44,0.6220630612118389
qwen,454,raw,1,45,0.6220630612118389
qwen,454,raw,1,46,0.6220630612118389
qwen,454,raw,1,47,0.622063061211839
qwen,454,raw,1,48,0.622063061211839
qwen,454,raw,1,49,0.622063061211839
qwen,474,raw,1,0,0.980036954085032
qwen,474,raw,1,1,0.9971180806557336
qwen,474,raw,1,2,0.9977636679210218
qwen,474,raw,1,3,0.9977636679210218
qwen,474,raw,1,4,0.9977636679210218
qwen,474,raw,1,5,0.9979313823041656
qwen,474,raw,1,6,0.9990669701998551
qwen,474,raw,1,7,0.9990669701998551
qwen,474,raw,1,8,0.9990669701998551
qwen,474,raw,1,9,0.9990669701998551
qwen,474,raw,1,10,0.9990669701998551
qwen,474,raw,1,11,0.9990669701998551
qwen,474,raw,1,12,0.9990669701998551
qwen,474,raw,1,13,0.9990341514348984
qwen,474,raw,1,14,0.9990341514348984
qwen,474,raw,1,15,0.9990341514348984
qwen,474,raw,1,16,0.9990341514348984
qwen,474,raw,1,17,0.9997101041813623
qwen,474,raw,1,18,0.9997101041813623
qwen,474,raw,1,19,0.9997101041813623
qwen,474,raw,1,20,0.9997096029496979
qwen,474,raw,1,21,0.9997096029496979
qwen,474,raw,1,22,0.9997570551126618
qwen,474,raw,1,23,0.9997570551126618
qwen,474,raw,1,24,0.9997570551126618
qwen,474,raw,1,25,0.9997570551126618
qwen,474,raw,1,26,0.9997529586495257
qwen,474,raw,1,27,0.9997529586495257
qwen,474,raw,1,28,0.9997529586495257
qwen,474,raw,1,29,0.9997529586495257
qwen,474,raw,1,30,0.9997529586495257
