sut,cell,arm,rep,d0,hv_raw,hv_pmi,hv_own,hv_cross,final_own_hv,gen0_own_hv,gen_to_90,frac_final_at_gen0,n_pareto_final,n_active_min,n_active_max,n_active_span,pareto_min_matdist,pareto_min_textdist,image_dim
qwen,454,raw,2,4.453447341918945,0.5099438887102206,0.9993601779583778,0.5099438887102206,0.9993601779583778,0.5099438887102206,0.23570280532279522,29,0.4622132170638388,98,0,149,149,1.3950421816844027e-05,0.07466793060302734,293
qwen,474,raw,2,0.057259589433670044,0.9985618885348002,0.9987849190119183,0.9985618885348002,0.9987849190119183,0.9985618885348002,0.9892641838906975,0,0.9906889049633715,86,0,149,149,1.3950421816844027e-05,0.08514893054962158,293
qwen,2,raw,3,1.9718880653381348,0.6422129191637218,0.9708609300534109,0.6422129191637218,0.9708609300534109,0.6422129191637218,0.47028464775856904,18,0.7322877409114804,41,0,118,118,1.3950421816844027e-05,0.059872984886169434,222
qwen,26,raw,3,3.4538527727127075,0.6537211658628852,0.9975873605535552,0.6537211658628852,0.9975873605535552,0.6537211658628852,0.2159285426318824,28,0.3303067942535799,144,0,127,127,1.3950421816844027e-05,0.0694231390953064,222
qwen,28,raw,3,-1.8430805206298828,0.9999296404756941,0.9017021428267877,0.9999296404756941,0.9017021428267877,0.9999296404756941,0.9973434607187907,0,0.9974136382679154,53,0,118,118,1.3950421816844027e-05,0.049321651458740234,222
qwen,96,raw,3,-4.1983330845832825,0.9997393417421224,0.7999088703329541,0.9997393417421224,0.7999088703329541,0.9997393417421224,0.8924506169219889,2,0.8926833021963758,219,0,146,146,2.490969745849725e-05,0.032924652099609375,253
qwen,196,raw,3,2.775361180305481,0.3627568351345377,0.825317031852118,0.3627568351345377,0.825317031852118,0.3627568351345377,0.11951465159654619,15,0.3294621631380732,272,0,118,118,4.031010394101031e-05,0.06640231609344482,222
qwen,278,raw,3,-0.0527796745300293,0.9561572383758457,0.9473606259541741,0.9561572383758457,0.9473606259541741,0.9561572383758457,0.899127521542656,0,0.9403552945642477,103,0,122,122,2.416285133222118e-05,0.07078194618225098,229
qwen,454,raw,3,4.453447341918945,0.4006301867049844,0.9994240522605025,0.4006301867049844,0.9994240522605025,0.4006301867049844,0.20811692022626307,17,0.5194738867231589,65,0,175,175,1.3950421816844027e-05,0.022640883922576904,293
qwen,474,raw,3,0.057259589433670044,0.9991911622410612,0.999431969735674,0.9991911622410612,0.999431969735674,0.9991911622410612,0.9762591959842913,0,0.9770494704883735,41,0,175,175,1.3950421816844027e-05,0.042107343673706055,293
qwen,2,pmi,1,1.9718880653381348,0.6942405359702067,0.9876991532765351,0.9876991532765351,0.6942405359702067,0.9876991532765351,0.7073494933388971,15,0.7161588536270153,64,0,122,122,1.3950421816844027e-05,0.06590712070465088,222
qwen,26,pmi,1,3.4538527727127075,0.39554992577693127,0.9711920545623824,0.9711920545623824,0.39554992577693127,0.9711920545623824,0.7735714711942472,6,0.7965175039892776,114,0,121,121,1.3950421816844027e-05,0.05839073657989502,222
qwen,28,pmi,1,-1.8430805206298828,0.9997603836897256,0.999930166681339,0.999930166681339,0.9997603836897256,0.999930166681339,0.8998050660163432,3,0.89986790677863,91,0,121,121,1.3950421816844027e-05,0.10469436645507812,222
qwen,96,pmi,1,-4.1983330845832825,0.9791828294595083,0.904124236350317,0.904124236350317,0.9791828294595083,0.904124236350317,0.7130316847711997,3,0.7886434807339071,135,0,135,135,2.490969745849725e-05,0.05623352527618408,253
qwen,196,pmi,1,2.775361180305481,0.4251207737951307,0.8876809705127109,0.8876809705127109,0.4251207737951307,0.8876809705127109,0.642391943895781,35,0.7236743438633649,58,0,121,121,4.031010394101031e-05,0.012470841407775879,222
qwen,278,pmi,1,-0.0527796745300293,0.982708635288555,0.9739120228668834,0.9739120228668834,0.982708635288555,0.9739120228668834,0.8400761147600422,1,0.8625790574872755,73,0,119,119,2.416285133222118e-05,0.03383833169937134,229
qwen,454,pmi,1,4.453447341918945,0.4912171424181117,0.9996281105673218,0.9996281105673218,0.4912171424181117,0.9996281105673218,0.9314723770908664,0,0.9318189106969242,45,0,167,167,1.3950421816844027e-05,0.03778904676437378,293
qwen,474,pmi,1,0.057259589433670044,0.9999760341013657,0.9999010170109579,0.9999010170109579,0.9999760341013657,0.9999010170109579,0.9503840585414054,0,0.9504781397086929,57,0,167,167,1.3950421816844027e-05,0.012470841407775879,293
qwen,2,pmi,2,1.9718880653381348,0.7416550480388664,0.9826499389277564,0.9826499389277564,0.7416550480388664,0.9826499389277564,0.797051665392724,6,0.8111247289776939,75,0,121,121,1.3950421816844027e-05,0.05274057388305664,222
qwen,26,pmi,2,3.4538527727127075,0.5111131003132096,0.9769902859364186,0.9769902859364186,0.5111131003132096,0.9769902859364186,0.7881415588809205,5,0.8067035775340471,147,0,121,121,1.3950421816844027e-05,0.06691336631774902,222
qwen,28,pmi,2,-1.8430805206298828,0.9999623044027579,0.9973797617485752,0.9973797617485752,0.9999623044027579,0.9973797617485752,0.815248521084005,1,0.8173902783577006,102,0,121,121,1.3950421816844027e-05,0.03882235288619995,222
qwen,96,pmi,2,-4.1983330845832825,0.966687909188792,0.9769468333999158,0.9769468333999158,0.966687909188792,0.9769468333999158,0.7600023047569083,7,0.7779361975226335,118,0,143,143,2.490969745849725e-05,0.012470841407775879,253
qwen,196,pmi,2,2.775361180305481,0.41889729370941986,0.881457490427,0.881457490427,0.41889729370941986,0.881457490427,0.5578371230904404,47,0.6328576580819686,44,0,121,121,4.031010394101031e-05,0.029456734657287598,222
