seed,anchor,target,a_word,t_word,d0_gray,d0_black,d0_white,d0_noise,d0_null_mean,d0_null_std,d0_null_range,d0_null_cv,raw_floor,pmi_floor,gap_med,explained_frac
276,boa constrictor,green iguana,constrictor,iguana,1.391401290893555,1.4153623580932615,1.103285789489746,0.4795689582824707,1.0974045991897583,0.4356170561224537,0.9357933998107908,0.3969520962861654,0.9245672225952148,0.0014057159423828,2.034334421157837,0.9984795957416304
398,cello,marimba,string instrument,percussion instrument,5.1956926882267,5.437871754169464,5.423043340444565,4.520431309938431,5.14425977319479,0.43040119619484196,0.9174404442310333,0.083666302863929,4.9203126430511475,0.0001208037137985,5.586930548772216,0.999975447959802
324,cello,junco,cello,bird,-1.2303959131240845,-1.0679689645767212,-1.449208714067936,-2.0479077007621527,-1.4488703231327236,0.42882117760359406,0.9799387361854315,0.29596932917806196,4.303455352783203e-05,0.3237433135509491,0.2434238195419311,-7521.869113573407
322,cello,junco,cello,songbird,-0.6485679745674133,-0.5253787338733673,-0.8596848249435425,-1.414303593337536,-0.8619837816804647,0.3932394200678574,0.8889248594641688,0.45620280616095193,0.0006570219993591,0.2085945308208465,0.7992020845413208,-316.4848498593849
393,cello,marimba,cello,marimba,-0.9003267288208008,-0.6783927977085114,-0.7805443108081818,-1.5342608243227005,-0.9733811654150486,0.3847627546334252,0.8558680266141891,0.39528477466416023,0.2570990920066833,1.157425820827484,1.6408151714131236,-3.5018666219069985
392,cello,marimba,cello,marimba,-0.9003267288208008,-0.6783927977085114,-0.7805443108081818,-1.5342608243227005,-0.9733811654150486,0.3847627546334252,0.8558680266141891,0.39528477466416023,0.4215256422758102,1.321852371096611,1.3932162318378687,-2.1358765363832934
240,boa constrictor,junco,constrictor,sparrow,-3.281009793281555,-2.9539549350738525,-3.262143611907959,-3.867599844932556,-3.3411770462989807,0.381631719694155,0.9136449098587036,0.11422074149494357,0.0004258155822753,0.2692316770553589,-0.3024330139160156,-631.2729563269877
96,ostrich,green iguana,flightless bird,lizard,-4.25820928812027,-3.9587782621383663,-4.013558804988861,-4.780624553561211,-4.252792727202177,0.37519468335519635,0.8218462914228444,0.088223129463925,0.0001239776611328,0.9767654538154602,-0.7544237375259399,-7877.560096153846
88,ostrich,green iguana,ratite,iguana,1.6171069741249084,1.631875976920128,1.5122598707675934,0.901588261127472,1.4157077707350254,0.34685804525346997,0.7302877157926561,0.24500681032031332,0.9168293550610542,0.0002950802445411,2.4424471789970994,0.9996781513998082
454,marimba,boa constrictor,marimba,constrictor,4.411278992891312,4.4753492176532745,4.495982974767685,3.8380938172340393,4.305176250636578,0.31346974132767663,0.6578891575336456,0.07281228992223628,2.041590929031372,0.0003227293491363,4.762102849781513,0.9998419226180196
86,ostrich,junco,flightless bird,songbird,-3.681031465530395,-3.5703777074813843,-3.70408296585083,-4.172791481018066,-3.782070904970169,0.26693798616945463,0.6024137735366821,0.07057984709346958,0.0984027385711669,1.2373857498168943,-0.8080965280532837,-11.57470846628918
