sut,seed,arm,rep,a_word,t_word,anchor,target,d0,d0_armgray,d0_run,floor_own,floor_raw,floor_pmi,reached_own,reached_evid,crossed_raw,crossed_pmi,gen_reach_own,gen_reach_own_trace,gen_reach_evid,gen_cross_behav,final_pareto_min
qwen,196,raw,2,iguana,constrictor,green iguana,boa constrictor,2.775361180305481,2.7845526933670044,2.7845526933670044,4.356059551239014,4.356059521436691,1.571506828069687,False,False,False,False,,,,,4.356059551239014
qwen,278,raw,2,constrictor,lizard,boa constrictor,green iguana,-0.0527796745300293,-0.0797491073608398,-0.0797491073608398,0.026984691619873047,0.026984691619873047,0.10673379898071285,True,True,False,False,9.0,9.0,23.0,,0.026984691619873047
qwen,454,raw,2,marimba,constrictor,marimba,boa constrictor,4.453447341918945,4.411278992891312,4.411278992891312,2.8861148357391357,2.8861148357391357,0.0006537437438964844,False,True,False,True,,,0.0,,2.8861148357391357
qwen,474,raw,2,marimba,string instrument,marimba,cello,0.05725958943367,-0.0058236718177795,-0.0058236718177795,0.00037086009979248047,0.00037086009979248047,0.00034737586975101733,True,True,True,True,0.0,0.0,0.0,0.0,0.00037086009979248047
qwen,2,raw,3,sparrow,flightless bird,junco,ostrich,1.9718880653381348,1.9891505241394043,1.9891505241394043,2.0287575721740723,2.0287575721740723,0.03960704803466797,False,True,False,False,,,26.0,,2.0287575721740723
qwen,26,raw,3,sparrow,constrictor,junco,boa constrictor,3.4538527727127075,3.537253975868225,3.537253975868225,1.864821434020996,1.864821434020996,0.003824472427368164,False,True,False,True,,,1.0,,1.864821434020996
qwen,28,raw,3,sparrow,snake,junco,boa constrictor,-1.8430805206298828,-1.8511478900909424,-1.8511478900909424,0.00035685300827026367,0.00035685300827026367,0.5829936861991882,True,False,True,False,0.0,0.0,,0.0,0.00035685300827026367
qwen,96,raw,3,flightless bird,lizard,ostrich,green iguana,-4.1983330845832825,-4.25820928812027,-4.25820928812027,4.315376281738281e-05,4.315376281738281e-05,1.2572683691978455,True,False,True,False,2.0,2.0,,0.0,4.315376281738281e-05
qwen,196,raw,3,iguana,constrictor,green iguana,boa constrictor,2.775361180305481,2.7845526933670044,2.7845526933670044,3.8201324939727783,3.8201324343681335,1.0355797410011292,False,False,False,False,,,,,3.8201324939727783
qwen,278,raw,3,constrictor,lizard,boa constrictor,green iguana,-0.0527796745300293,-0.0797491073608398,-0.0797491073608398,0.2615976333618164,0.2615976333618164,0.3413467407226562,True,False,False,False,29.0,29.0,,,0.2615976333618164
qwen,454,raw,3,marimba,constrictor,marimba,boa constrictor,4.453447341918945,4.411278992891312,4.411278992891312,3.5808496475219727,3.580849528312683,0.0009413957595825195,False,True,False,True,,,1.0,,3.5808496475219727
qwen,474,raw,3,marimba,string instrument,marimba,cello,0.05725958943367,-0.0058236718177795,-0.0058236718177795,0.0007053613662719727,0.0007053613662719727,1.7493963241617914e-05,True,True,True,True,0.0,0.0,0.0,1.0,0.0007053613662719727
qwen,2,pmi,1,sparrow,flightless bird,junco,ostrich,1.9718880653381348,1.9718880653381348,1.9718880653381348,5.412101745605469e-05,1.7458057403564453,5.412101745605469e-05,True,True,False,True,18.0,18.0,18.0,,5.412101745605469e-05
qwen,26,pmi,1,sparrow,constrictor,junco,boa constrictor,3.4538527727127075,3.4538527727127075,3.4538527727127075,0.14547276496887207,3.5993255376815796,0.14547276496887207,True,True,False,False,27.0,27.0,27.0,,0.14547276496887207
qwen,28,pmi,1,sparrow,snake,junco,boa constrictor,-1.8430805206298828,-1.8430805206298828,-1.8430805206298828,0.00039336085319519043,0.0013573169708251953,0.00039336085319519043,True,True,True,True,6.0,6.0,6.0,0.0,0.00039336085319519043
qwen,96,pmi,1,flightless bird,lizard,ostrich,green iguana,-4.1983330845832825,-4.1983330845832825,-4.1983330845832825,0.5689190626144409,0.12490302324295044,0.5689190626144409,False,False,True,False,,,,0.0,0.5689190626144409
qwen,196,pmi,1,iguana,constrictor,green iguana,boa constrictor,2.775361180305481,2.775361180305481,2.775361180305481,0.6427435278892517,3.4181047081947327,0.6427435278892517,False,False,False,False,,,,,0.6427435278892517
qwen,278,pmi,1,constrictor,lizard,boa constrictor,green iguana,-0.0527796745300293,-0.0527796745300293,-0.0527796745300293,0.15320444107055664,0.10042476654052734,0.15320444107055664,True,True,False,False,10.0,10.0,10.0,,0.15320444107055664
qwen,454,pmi,1,marimba,constrictor,marimba,boa constrictor,4.453447341918945,4.453447341918945,4.453447341918945,0.00016829371452331543,3.0382825136184692,0.00016829371452331543,True,True,False,True,1.0,1.0,1.0,,0.00016829371452331543
qwen,474,pmi,1,marimba,string instrument,marimba,cello,0.05725958943367,0.05725958943367,0.057259589433670044,0.000436931848526001,7.984042167663574e-05,0.000436931848526001,True,True,True,True,0.0,0.0,0.0,4.0,0.000436931848526001
qwen,2,pmi,2,sparrow,flightless bird,junco,ostrich,1.9718880653381348,1.9718880653381348,1.9718880653381348,0.007408857345581055,1.3825962543487549,0.007408857345581055,True,True,False,True,6.0,6.0,6.0,,0.007408857345581055
qwen,26,pmi,2,sparrow,constrictor,junco,boa constrictor,3.4538527727127075,3.4538527727127075,3.4538527727127075,0.012936234474182129,2.679028272628784,0.012936234474182129,True,True,False,True,13.0,13.0,13.0,,0.012936234474182129
qwen,28,pmi,2,sparrow,snake,junco,boa constrictor,-1.8430805206298828,-1.8430805206298828,-1.8430805206298828,0.00022405385971069336,2.8252601623535156e-05,0.00022405385971069336,True,True,True,True,2.0,2.0,2.0,0.0,0.00022405385971069336
qwen,96,pmi,2,flightless bird,lizard,ostrich,green iguana,-4.1983330845832825,-4.1983330845832825,-4.1983330845832825,0.12643441557884216,0.1939876675605774,0.12643441557884216,True,True,True,False,11.0,11.0,11.0,0.0,0.12643441557884216
qwen,196,pmi,2,iguana,constrictor,green iguana,boa constrictor,2.775361180305481,2.775361180305481,2.775361180305481,0.6807460188865662,3.456107199192047,0.6807460188865662,False,False,False,False,,,,,0.6807460188865662
qwen,278,pmi,2,constrictor,lizard,boa constrictor,green iguana,-0.0527796745300293,-0.0527796745300293,-0.0527796745300293,4.76837158203125e-07,0.0037279129028320312,4.76837158203125e-07,True,True,True,True,4.0,4.0,4.0,20.0,4.76837158203125e-07
qwen,454,pmi,2,marimba,constrictor,marimba,boa constrictor,4.453447341918945,4.453447341918945,4.453447341918945,0.0004571974277496338,3.0061326026916504,0.0004571974277496338,True,True,False,True,0.0,0.0,0.0,,0.0004571974277496338
qwen,474,pmi,2,marimba,string instrument,marimba,cello,0.05725958943367,0.05725958943367,0.057259589433670044,0.0010051131248474121,0.0012449324131011963,0.0010051131248474121,True,True,True,True,0.0,0.0,0.0,4.0,0.0010051131248474121
qwen,2,pmi,3,sparrow,flightless bird,junco,ostrich,1.9718880653381348,1.9718880653381348,1.9718880653381348,0.02521681785583496,1.9466712474822998,0.02521681785583496,True,True,False,True,40.0,40.0,40.0,,0.02521681785583496
qwen,26,pmi,3,sparrow,constrictor,junco,boa constrictor,3.4538527727127075,3.4538527727127075,3.4538527727127075,0.0007834434509277344,3.0995869636535645,0.0007834434509277344,True,True,False,True,14.0,14.0,14.0,,0.0007834434509277344
qwen,28,pmi,3,sparrow,snake,junco,boa constrictor,-1.8430805206298828,-1.8430805206298828,-1.8430805206298828,0.0024421364068984985,0.00037604570388793945,0.0024421364068984985,True,True,True,True,3.0,3.0,3.0,0.0,0.0024421364068984985
qwen,96,pmi,3,flightless bird,lizard,ostrich,green iguana,-4.1983330845832825,-4.1983330845832825,-4.1983330845832825,0.4937290549278259,0.05124181509017944,0.4937290549278259,False,False,True,False,,,,0.0,0.4937290549278259
qwen,196,pmi,3,iguana,constrictor,green iguana,boa constrictor,2.775361180305481,2.775361180305481,2.775361180305481,1.5452308654785156,4.320592045783997,1.5452308654785156,False,False,False,False,,,,,1.5452308654785156
qwen,278,pmi,3,constrictor,lizard,boa constrictor,green iguana,-0.0527796745300293,-0.0527796745300293,-0.0527796745300293,0.1725773811340332,0.1197977066040039,0.1725773811340332,True,True,False,False,37.0,37.0,37.0,,0.1725773811340332
qwen,454,pmi,3,marimba,constrictor,marimba,boa constrictor,4.453447341918945,4.453447341918945,4.453447341918945,0.0006025433540344238,3.829092264175415,0.0006025433540344238,True,True,False,True,1.0,1.0,1.0,,0.0006025433540344238
qwen,474,pmi,3,marimba,string instrument,marimba,cello,0.05725958943367,0.05725958943367,0.057259589433670044,0.0002543032169342041,0.0013221800327301025,0.0002543032169342041,True,True,True,True,0.0,0.0,0.0,0.0,0.0002543032169342041
llava,2,raw,1,sparrow,flightless bird,junco,ostrich,-1.1898174285888672,-1.1898174285888672,-1.1898174285888672,0.0007950067520141602,0.0007950067520141602,0.0793156623840332,True,True,True,False,0.0,0.0,22.0,0.0,0.0007950067520141602
llava,26,raw,1,sparrow,constrictor,junco,boa constrictor,-1.025684833526611,-1.025684833526611,-1.025684833526611,0.003784656524658203,0.003784656524658203,0.32424545288085915,True,False,True,False,3.0,3.0,,6.0,0.003784656524658203
