seed,anchor,target,a_word,t_word,arm,d0,image_dim,floor_own,floor_raw,floor_pmi,reached_evidence,crossed_raw,crossed_pmi,hv_raw,hv_pmi,n_active_min,n_active_max,matdist_min,textdist_min,rep
26,junco,boa constrictor,sparrow,constrictor,raw,-1.025684833526611,222,0.003257274627685547,0.003257274627685547,0.4871234893798826,False,True,False,0.9975511055808884,0.9132470361463301,0,121,2.782623232633341e-05,0.29237669706344604,2
278,boa constrictor,green iguana,constrictor,lizard,raw,2.143124580383301,229,1.670454502105713,1.670454502105713,0.006316781044006348,True,False,True,0.7199952179861555,0.9983489432709707,0,118,2.994129499711562e-05,0.18239009380340576,2
28,junco,boa constrictor,sparrow,snake,raw,4.609247207641602,222,1.451977625489235,1.451977625489235,0.0007395744323730469,True,False,True,0.7424723029628889,0.9993449268308845,0,121,2.782623232633341e-05,0.3305758237838745,2
2,junco,ostrich,sparrow,flightless bird,raw,-1.1898174285888672,222,0.0001728534698486328,0.0001728534698486328,0.006427764892578125,True,True,True,0.9999603059914735,0.9971997046971822,0,121,2.782623232633341e-05,0.4209756851196289,2
454,marimba,boa constrictor,marimba,constrictor,raw,0.1195020675659179,293,0.005991935729980469,0.005991935729980469,0.00011217594146735455,True,True,True,0.998211630375312,0.9995964133563167,0,158,2.2720023480360396e-05,0.3884403705596924,2
474,marimba,cello,marimba,string instrument,raw,1.024472713470459,293,0.33393633365631104,0.33393633365631104,0.0005120038986206055,True,False,True,0.9425850960853022,0.9997971908224321,0,149,2.2720023480360396e-05,0.31827211380004883,2
96,ostrich,green iguana,flightless bird,lizard,raw,1.716181755065918,253,0.6776649951934814,0.6776649951934814,0.000893712043762207,True,False,True,0.8858472936748674,0.9998212318489518,0,144,3.48673747794237e-05,0.3454081416130066,2
196,green iguana,boa constrictor,iguana,constrictor,raw,-0.0645198822021484,222,0.002222776412963867,0.002222776412963867,0.0009039640426636159,True,True,True,0.9993840061329506,0.9996943463971308,0,118,4.5514661906054243e-05,0.4041498303413391,3
26,junco,boa constrictor,sparrow,constrictor,raw,-1.025684833526611,222,0.0015130043029785156,0.0015130043029785156,0.4000763893127439,False,True,False,0.9983685129397624,0.9291191032161942,0,117,2.782623232633341e-05,0.2818605303764343,3
278,boa constrictor,green iguana,constrictor,lizard,raw,2.143124580383301,229,1.9689436852931976,1.9689436852931976,0.004554733633995056,True,False,True,0.6708980395934468,0.998885424246434,0,122,2.994129499711562e-05,0.2924652695655823,3
28,junco,boa constrictor,sparrow,snake,raw,4.609247207641602,222,1.2471930980682373,1.2471930980682373,0.0052797794342041016,True,False,True,0.7631399074384758,0.9981932279852417,0,117,2.782623232633341e-05,0.23089861869812012,3
2,junco,ostrich,sparrow,flightless bird,raw,-1.1898174285888672,222,0.001101374626159668,0.001101374626159668,0.1443183422088623,True,True,False,0.9997659135867167,0.974361344142719,0,118,2.782623232633341e-05,0.4860268235206604,3
454,marimba,boa constrictor,marimba,constrictor,raw,0.1195020675659179,293,0.0009274482727050781,0.0009274482727050781,3.051757812506939e-05,True,True,True,0.9998454252878824,0.9999433610083978,0,182,2.2720023480360396e-05,0.27395784854888916,3
474,marimba,cello,marimba,string instrument,raw,1.024472713470459,293,0.7811912298202515,0.7811912298202515,0.0017148256301879883,True,False,True,0.8685926727196192,0.999529904133902,0,187,2.2720023480360396e-05,0.29019153118133545,3
96,ostrich,green iguana,flightless bird,lizard,raw,1.716181755065918,253,0.72581946849823,0.72581946849823,9.310245513916016e-05,True,False,True,0.8774552329177128,0.9999107290869174,0,147,3.48673747794237e-05,0.44366514682769775,3
