seed,anchor,target,a_word,t_word,arm,d0,image_dim,floor_own,floor_raw,floor_pmi,reached_evidence,crossed_raw,crossed_pmi,hv_raw,hv_pmi,n_active_min,n_active_max,matdist_min,textdist_min,rep
454,marimba,boa constrictor,marimba,constrictor,pmi,4.453447341918945,293,0.0006025433540344238,3.829092264175415,0.0006025433540344238,True,False,True,0.3600593560689952,0.9997402369060615,0,175,1.3950421816844027e-05,0.011650919914245605,3
474,marimba,cello,marimba,string instrument,pmi,0.057259589433670044,293,0.0002543032169342041,0.0013221800327301025,0.0002543032169342041,True,True,True,0.9995031617030891,0.9997231445452187,0,175,1.3950421816844027e-05,0.11298036575317383,3
96,ostrich,green iguana,flightless bird,lizard,pmi,-4.1983330845832825,253,0.4937290549278259,0.05124181509017944,0.4937290549278259,False,True,False,0.9911557723018334,0.9161046655046139,0,146,2.490969745849725e-05,0.05144840478897095,3
196,green iguana,boa constrictor,iguana,constrictor,raw,2.7845526933670044,222,3.6458197832107544,3.6458197832107544,0.86126708984375,False,False,False,0.37816202691993916,0.8422541424811065,0,121,4.031010394101031e-05,0.03386867046356201,1
26,junco,boa constrictor,sparrow,constrictor,raw,3.537253975868225,222,2.8454997539520264,2.8454997539520264,0.0033904314041137695,True,False,True,0.5176681223305853,0.9976639977178058,0,121,1.3950421816844027e-05,0.05229389667510986,1
278,boa constrictor,green iguana,constrictor,lizard,raw,-0.0797491073608398,229,0.10703754425048828,0.10703754425048828,0.18678665161132807,True,False,False,0.9819556223079454,0.968664104414472,0,119,2.416285133222118e-05,0.05204463005065918,1
28,junco,boa constrictor,sparrow,snake,raw,-1.8511478900909424,222,8.273124694824219e-05,8.273124694824219e-05,0.6933194696903229,False,True,False,0.999984343667646,0.8840578700508083,0,121,1.3950421816844027e-05,0.04232525825500488,1
2,junco,ostrich,sparrow,flightless bird,raw,1.9891505241394043,222,2.0041786432266235,2.0041786432266235,0.015028119087219238,True,False,False,0.6431956794168855,0.974720766773453,0,121,1.3950421816844027e-05,0.0656554102897644,1
454,marimba,boa constrictor,marimba,constrictor,raw,4.411278992891312,293,2.224987268447876,2.224987268447876,0.0010512471199035645,True,False,True,0.622063061211839,0.9997468192863519,0,167,1.3950421816844027e-05,0.057455599308013916,1
474,marimba,cello,marimba,string instrument,raw,-0.0058236718177795,293,0.00015369057655334473,0.00015369057655334473,0.00026553869247432447,True,True,True,0.9999510662818796,0.999942583164393,0,167,1.3950421816844027e-05,0.0735553503036499,1
96,ostrich,green iguana,flightless bird,lizard,raw,-4.25820928812027,253,0.0001964569091796875,0.0001964569091796875,1.1403153538703918,False,True,False,0.9991407999093982,0.8096196728811276,0,135,2.490969745849725e-05,0.05293518304824829,1
196,green iguana,boa constrictor,iguana,constrictor,raw,2.7845526933670044,222,4.356059521436691,4.356059521436691,1.571506828069687,False,False,False,0.2707738704621434,0.7348659860233108,0,121,4.031010394101031e-05,0.026067137718200684,2
26,junco,boa constrictor,sparrow,constrictor,raw,3.537253975868225,222,3.0215169191360474,3.0215169191360474,0.01020514965057373,True,False,True,0.483545801079309,0.9908908426135152,0,121,1.3950421816844027e-05,0.09302836656570435,2
278,boa constrictor,green iguana,constrictor,lizard,raw,-0.0797491073608398,229,0.026984691619873047,0.026984691619873047,0.10673379898071285,True,False,False,0.9939945604776885,0.9807030425842151,0,118,2.416285133222118e-05,0.009710311889648438,2
28,junco,boa constrictor,sparrow,snake,raw,-1.8511478900909424,222,0.00045877695083618164,0.00045877695083618164,0.6026369333267212,False,True,False,0.999904818184025,0.8987165950350575,0,121,1.3950421816844027e-05,0.08748608827590942,2
2,junco,ostrich,sparrow,flightless bird,raw,1.9891505241394043,222,0.5106923580169678,0.5106923580169678,0.0028238296508789062,True,False,True,0.8608545158897434,0.981499626740321,0,121,1.3950421816844027e-05,0.05257284641265869,2
454,marimba,boa constrictor,marimba,constrictor,raw,4.411278992891312,293,2.8861148357391357,2.8861148357391357,0.0006537437438964844,True,False,True,0.5099438887102206,0.9992793414474754,0,149,1.3950421816844027e-05,0.07466793060302734,2
474,marimba,cello,marimba,string instrument,raw,-0.0058236718177795,293,0.00037086009979248047,0.00037086009979248047,0.00034737586975101733,True,True,True,0.9985618885348002,0.9984943088868778,0,149,1.3950421816844027e-05,0.08514893054962158,2
96,ostrich,green iguana,flightless bird,lizard,raw,-4.25820928812027,253,0.0003676414489746094,0.0003676414489746094,1.2781370282173157,False,True,False,0.9995683960920895,0.7855408850944404,0,143,2.490969745849725e-05,0.0,2
196,green iguana,boa constrictor,iguana,constrictor,raw,2.7845526933670044,222,3.8201324343681335,3.8201324343681335,1.0355797410011292,False,False,False,0.3627568351345377,0.8268489506957051,0,118,4.031010394101031e-05,0.06640231609344482,3
26,junco,boa constrictor,sparrow,constrictor,raw,3.537253975868225,222,1.864821434020996,1.864821434020996,0.003824472427368164,True,False,True,0.6537211658628852,0.9965763561449967,0,127,1.3950421816844027e-05,0.0694231390953064,3
278,boa constrictor,green iguana,constrictor,lizard,raw,-0.0797491073608398,229,0.2615976333618164,0.2615976333618164,0.3413467407226562,False,False,False,0.9561572383758457,0.9428657204823724,0,122,2.416285133222118e-05,0.07078194618225098,3
28,junco,boa constrictor,sparrow,snake,raw,-1.8511478900909424,222,0.00035685300827026367,0.00035685300827026367,0.5829936861991882,False,True,False,0.9999296404756941,0.9003575812499445,0,118,1.3950421816844027e-05,0.049321651458740234,3
2,junco,ostrich,sparrow,flightless bird,raw,1.9891505241394043,222,2.0287575721740723,2.0287575721740723,0.03960704803466797,True,False,False,0.6422129191637218,0.9737380065202892,0,118,1.3950421816844027e-05,0.059872984886169434,3
454,marimba,boa constrictor,marimba,constrictor,raw,4.411278992891312,293,3.580849528312683,3.580849528312683,0.0009413957595825195,True,False,True,0.4006301867049844,0.999425127534397,0,175,1.3950421816844027e-05,0.022640883922576904,3
474,marimba,cello,marimba,string instrument,raw,-0.0058236718177795,293,0.0007053613662719727,0.0007053613662719727,1.7493963241617914e-05,True,True,True,0.9991911622410612,0.9993331030062035,0,175,1.3950421816844027e-05,0.042107343673706055,3
96,ostrich,green iguana,flightless bird,lizard,raw,-4.25820928812027,253,4.315376281738281e-05,4.315376281738281e-05,1.2572683691978455,False,True,False,0.9997393417421224,0.7899295030767897,0,146,2.490969745849725e-05,0.032924652099609375,3
