sut,cell,d0,arm,pair,hv_own_mean,hv_own_min,hv_own_max,hv_own_std,hv_cross_mean,gen_to_90_mean,gen_to_90_min,gen_to_90_max,n_pareto_mean,n_pareto_min,n_pareto_max,n_active_span_mean,n_active_span_min,n_active_span_max,gen0_frac_mean
qwen,278,-0.0527796745300293,raw,constrictor/lizard,0.9773691403871597,0.9561572383758457,0.9939945604776885,0.01578380178678807,0.9685725279654883,1.6666666666666667,0,3,125.66666666666667,103,164,119.66666666666667,118,122,0.8988437681737954
qwen,278,-0.0527796745300293,pmi,constrictor/lizard,0.9797820752248899,0.96890760648025,0.9965265963275359,0.012015137287616906,0.9856354246319988,2.3333333333333335,1,4,70.0,62,75,119.66666666666667,118,122,0.8543777980165471
qwen,454,4.453447341918945,raw,marimba/constrictor,0.510879045542348,0.4006301867049844,0.622063061211839,0.09040201091722685,0.9995619203749823,23.333333333333332,17,29,78.0,65,98,163.66666666666666,149,175,0.4545447736748988
qwen,454,4.453447341918945,pmi,marimba/constrictor,0.9993369493168731,0.9986425004772359,0.9997402369060615,0.0004931784478359744,0.4462533487931634,0.0,0,0,58.666666666666664,45,70,163.66666666666666,149,175,0.9526175858422613
qwen,474,0.057259589433670044,raw,marimba/string instrument,0.9992347056859137,0.9985618885348002,0.9999510662818796,0.0005679646273829254,0.9993665856808978,0.0,0,0,58.333333333333336,41,86,163.66666666666666,149,175,0.9826077629118859
qwen,474,0.057259589433670044,pmi,marimba/string instrument,0.9996598631335698,0.9993554278445326,0.9999010170109579,0.00022718610201827603,0.9995156468814369,0.0,0,0,77.0,56,118,163.66666666666666,149,175,0.9767255571687676
llava,2,-1.1898174285888672,raw,sparrow/flightless bird,0.9998641945757307,0.9997659135867167,0.9999603059914735,7.937519361828031e-05,0.9860211316649025,0.0,0,0,52.0,44,62,120.0,118,121,0.9974009499161175
llava,2,-1.1898174285888672,pmi,sparrow/flightless bird,0.9987632529036299,0.9977602035075694,0.9997912704407632,0.0008293675412946735,0.9997344848450956,0.0,0,0,81.66666666666667,55,132,124.0,121,130,0.9337716090096103
llava,26,-1.0256848335266113,raw,sparrow/constrictor,0.9978524320446573,0.9975511055808884,0.9983685129397624,0.00036663178341869647,0.9238170712171971,0.3333333333333333,0,1,74.0,69,84,119.33333333333333,117,121,0.8922125095582095
llava,26,-1.0256848335266113,pmi,sparrow/constrictor,0.9588956799772052,0.9027828805976443,0.9913579897658603,0.03984048806978057,0.9985782816126063,10.333333333333334,1,20,67.0,63,69,119.33333333333333,117,121,0.7419554413176784
llava,28,4.609247207641602,raw,sparrow/snake,0.801536507404841,0.7424723029628889,0.8989973118131583,0.06942979075117077,0.9989315398910023,18.666666666666668,12,24,105.33333333333333,76,123,119.33333333333333,117,121,0.29749957404120264
llava,28,4.609247207641602,pmi,sparrow/snake,0.9996777450119531,0.99947265372262,0.9998238398148134,0.00014931701599755668,0.594165412632672,0.0,0,0,58.666666666666664,52,63,119.33333333333333,117,121,0.9671201094439379
llava,96,1.716181755065918,raw,flightless bird/lizard,0.8633388257178499,0.8267139505609694,0.8858472936748674,0.0261233328798956,0.9998686313498267,4.0,2,7,80.0,61,102,142.33333333333334,136,147,0.8268382002413387
llava,96,1.716181755065918,pmi,flightless bird/lizard,0.9995486629234368,0.9990698012752809,0.9999744381672152,0.0003712192535500994,0.8188358127521118,0.0,0,0,99.0,52,156,143.0,138,147,0.9748854333479461
llava,196,-0.06451988220214844,raw,iguana/constrictor,0.9990362898484841,0.9984337267753957,0.9993840061329506,0.00042775996275326133,0.9991352070081939,0.0,0,0,57.333333333333336,46,65,120.0,118,121,0.9770105449865043
llava,196,-0.06451988220214844,pmi,iguana/constrictor,0.9993888322297518,0.9986996838638376,0.9998177250584325,0.0004921407228955907,0.9996083317337571,0.0,0,0,79.66666666666667,69,90,120.33333333333333,118,122,0.9558614532806854
llava,278,2.143124580383301,raw,constrictor/lizard,0.7593205646150382,0.6708980395934468,0.8870684362655124,0.09252845423598396,0.9990165072960046,18.333333333333332,10,25,72.33333333333333,64,84,119.66666666666667,118,122,0.5861151951851075
llava,278,2.143124580383301,pmi,constrictor/lizard,0.9981815129851093,0.9974996162987866,0.9987686871614693,0.0005224075542127016,0.6946757963593292,0.6666666666666666,0,2,82.0,64,97,122.33333333333333,118,130,0.8985104683709433
llava,454,0.11950206756591797,raw,marimba/constrictor,0.997665002122719,0.9949379507049629,0.9998454252878824,0.0020404131167322996,0.99895740685519,0.3333333333333333,0,1,106.33333333333333,80,143,169.0,158,182,0.9317128237786632
llava,454,0.11950206756591797,pmi,marimba/constrictor,0.9976454785614245,0.9966696728618478,0.9993130366685582,0.0011848302546996292,0.9960443124564978,0.3333333333333333,0,1,101.0,91,117,163.66666666666666,149,175,0.9246323811330425
llava,474,1.024472713470459,raw,marimba/string instrument,0.9051425336751696,0.8685926727196192,0.9425850960853022,0.030213875022323526,0.9991946490958282,2.6666666666666665,0,8,88.33333333333333,60,113,167.66666666666666,149,187,0.9081151871086962
llava,474,1.024472713470459,pmi,marimba/string instrument,0.9995665761571876,0.9988652608093548,0.9999526408887696,0.0004967467983872085,0.8796382347290653,0.0,0,0,71.66666666666667,54,83,163.66666666666666,149,175,0.9733837446723973
