sut,seed,arm,a_word,t_word,d0,floor_own_mean,floor_own_min,floor_own_max,floor_raw_mean,floor_pmi_mean,floor_pmi_min,floor_pmi_max,reached_own_k,reached_evid_k,crossed_raw_k,gen_reach_own_mean,gen_reach_own_min,gen_reach_own_max,gen_reach_own_n,gen_reach_evid_mean,gen_reach_evid_min,gen_reach_evid_max,gen_reach_evid_n,gen_cross_behav_mean,gen_cross_behav_min,gen_cross_behav_max,gen_cross_behav_n
qwen,28,pmi,sparrow,snake,-1.8430805206298828,0.0010198503732681274,0.00022405385971069336,0.0024421364068984985,0.0005872050921122233,0.0010198503732681274,0.00022405385971069336,0.0024421364068984985,3,3,3,3.6666666666666665,2.0,6.0,3,3.6666666666666665,2.0,6.0,3,0.0,0.0,0.0,3
qwen,28,raw,sparrow,snake,-1.8430805206298828,0.0002994537353515625,8.273124694824219e-05,0.00045877695083618164,0.0002994537353515625,0.6263166964054108,0.5829936861991882,0.6933194696903229,3,0,3,0.0,0.0,0.0,3,,,,0,0.0,0.0,0.0,3
qwen,96,pmi,flightless bird,lizard,-4.1983330845832825,0.396360844373703,0.12643441557884216,0.5689190626144409,0.12337750196456909,0.396360844373703,0.12643441557884216,0.5689190626144409,1,1,3,11.0,11.0,11.0,1,11.0,11.0,11.0,1,0.0,0.0,0.0,3
qwen,96,raw,flightless bird,lizard,-4.1983330845832825,0.00020241737365722656,4.315376281738281e-05,0.0003676414489746094,0.00020241737365722656,1.2252402504285176,1.1403153538703918,1.2781370282173157,3,0,3,3.3333333333333335,1.0,7.0,3,,,,0,0.0,0.0,0.0,3
qwen,196,pmi,iguana,constrictor,2.775361180305481,0.9562401374181112,0.6427435278892517,1.5452308654785156,3.7316013177235923,0.9562401374181112,0.6427435278892517,1.5452308654785156,0,0,0,,,,0,,,,0,,,,0
qwen,196,raw,iguana,constrictor,2.775361180305481,3.9406705697377524,3.645819664001465,4.356059551239014,3.9406705796718597,1.1561178863048553,0.86126708984375,1.571506828069687,0,0,0,,,,0,,,,0,,,,0
qwen,278,pmi,constrictor,lizard,-0.0527796745300293,0.10859409968058269,4.76837158203125e-07,0.1725773811340332,0.07465012868245442,0.10859409968058269,4.76837158203125e-07,0.1725773811340332,3,3,1,17.0,4.0,37.0,3,17.0,4.0,37.0,3,20.0,20.0,20.0,1
qwen,278,raw,constrictor,lizard,-0.0527796745300293,0.13187328974405924,0.026984691619873047,0.2615976333618164,0.13187328974405924,0.21162239710489902,0.10673379898071285,0.3413467407226562,3,2,0,17.333333333333332,9.0,29.0,3,18.5,14.0,23.0,2,,,,0
qwen,454,pmi,marimba,constrictor,4.453447341918945,0.0004093448321024577,0.00016829371452331543,0.0006025433540344238,3.2911691268285117,0.0004093448321024577,0.00016829371452331543,0.0006025433540344238,3,3,0,0.6666666666666666,0.0,1.0,3,0.6666666666666666,0.0,1.0,3,,,,0
qwen,454,raw,marimba,constrictor,4.453447341918945,2.8973172505696616,2.224987268447876,3.5808496475219727,2.8973172108332315,0.0008821288744608561,0.0006537437438964844,0.0010512471199035645,0,3,0,,,,0,0.3333333333333333,0.0,1.0,3,,,,0
qwen,474,pmi,marimba,string instrument,0.05725958943367,0.0005654493967692057,0.0002543032169342041,0.0010051131248474121,0.0008823176225026449,0.0005654493967692057,0.0002543032169342041,0.0010051131248474121,3,3,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,2.6666666666666665,0.0,4.0,3
qwen,474,raw,marimba,string instrument,0.05725958943367,0.0004099706808725993,0.00015369057655334473,0.0007053613662719727,0.0004099706808725993,0.00021013617515565323,1.7493963241617914e-05,0.00034737586975101733,3,3,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,1.3333333333333333,0.0,3.0,3
