seed,anchor,target,la,lt,a_word,t_word,raw_floor,gap_med,d0_gray,pmi_floor_gray,d0_black,pmi_floor_black,d0_white,pmi_floor_white,d0_noise,pmi_floor_noise,d0,pmi_floor,explained_frac
242,boa constrictor,junco,0,1,constrictor,songbird,3.814697265625e-05,-0.6352698802947998,-2.5481154918670654,0.7893474102020264,-2.5172739028930664,0.7585058212280273,-2.583343029022217,0.8245749473571777,-2.9833714962005615,1.2246034145355225,-2.5481154918670654,0.7893474102020264,-20691.26875
243,boa constrictor,junco,0,1,constrictor,songbird,0.0005121231079101562,-0.8576604127883911,-2.5481154918670654,0.2743525505065918,-2.5172739028930664,0.24351096153259277,-2.583343029022217,0.30958008766174316,-2.9833714962005615,0.7096085548400879,-2.5481154918670654,0.2743525505065918,-534.7160148975792
244,boa constrictor,junco,0,2,constrictor,bird,0.0019178390502929688,-2.4909969568252563,-4.6907088458538055,0.30162861943244934,-4.776768386363983,0.38768815994262695,-4.967889785766602,0.5788095593452454,-5.154085725545883,0.765005499124527,-4.6907088458538055,0.30162861943244934,-156.27525174042765
26,junco,boa constrictor,0,0,sparrow,constrictor,3.4078325033187866,5.021895043551922,3.537253975868225,0.01414179801940918,3.3402878046035767,0.06754469871520996,3.623223662376404,0.012526273727416992,3.840469241142273,0.012236952781677246,3.537253975868225,0.01414179801940918,0.9958502074249139
276,boa constrictor,green iguana,0,0,constrictor,iguana,0.9245672225952148,2.034334421157837,1.3914012908935547,0.0014057159423828125,1.4153623580932617,0.0004506111145019531,1.103285789489746,0.0008969306945800781,0.4795689582824707,0.44499826431274414,1.3914012908935547,0.0014057159423828125,0.9984795957416303
278,boa constrictor,green iguana,0,1,constrictor,lizard,0.0003638267517089844,0.684194803237915,-0.07974910736083984,0.00010395050048828125,0.05054473876953125,0.0010747909545898438,-0.06890392303466797,0.007056713104248047,-0.5388579368591309,0.3349947929382324,-0.07974910736083984,0.00010395050048828125,0.7142857142857143
282,boa constrictor,green iguana,1,1,snake,lizard,0.0020277798175811768,0.8238590583205223,-0.592982679605484,0.07534462213516235,-0.0815008282661438,0.0001341700553894043,-0.373648464679718,0.007060706615447998,-1.2401638180017471,0.4970158487558365,-0.592982679605484,0.07534462213516235,-36.15621463529342
28,junco,boa constrictor,0,1,sparrow,snake,1.0132789611816406e-05,0.33440765738487244,-1.8511478900909424,0.786457747220993,-1.6919382810592651,0.6272481381893158,-1.8697116672992706,0.8050215244293213,-2.1540337577462196,1.0893436148762703,-1.8511478900909424,0.786457747220993,-77614.12647058823
29,junco,boa constrictor,0,1,sparrow,snake,0.0002932548522949219,0.256755530834198,-1.8511478900909424,0.42775148153305054,-1.6919382810592651,0.2685418725013733,-1.8697116672992706,0.4463152587413788,-2.1540337577462196,0.7306373491883278,-1.8511478900909424,0.42775148153305054,-1457.6339430894309
2,junco,ostrich,0,1,sparrow,flightless bird,2.8478509187698364,4.505828343331814,1.9891505241394043,0.8587003946304321,2.232210159301758,0.6156407594680786,2.198424816131592,0.6494261026382446,2.4184149503707886,0.42943596839904785,1.9891505241394043,0.8587003946304321,0.6984742463269958
302,boa constrictor,marimba,0,0,constrictor,marimba,8.678436279296875e-05,0.2878303527832031,-0.694127082824707,0.07398176193237305,-0.7376832962036133,0.1175379753112793,-0.8446731567382812,0.22452783584594727,-0.8238954544067383,0.2037501335144043,-0.694127082824707,0.07398176193237305,-851.478021978022
30,junco,boa constrictor,0,2,sparrow,reptile,3.0088945627212524,4.29590368270874,3.0937113761901855,0.0025281906127929688,2.9366716146469116,0.07222294807434082,3.188204288482666,0.004447340965270996,3.3431389331817627,0.00043845176696777344,3.0937113761901855,0.0025281906127929688,0.9991597609819513
310,boa constrictor,marimba,1,1,snake,percussion instrument,4.151951789855957,5.177317328751087,4.036033630371094,0.11591815948486328,4.272901356220245,0.05208355188369751,4.103391408920288,0.048560380935668945,3.2238943576812744,0.9280574321746826,4.036033630371094,0.11591815948486328,0.9720810439639318
320,cello,junco,0,0,cello,sparrow,0.00020018219947814941,1.360988162457943,-0.3563307523727417,0.0043859779834747314,-0.03353756666183472,0.0020411312580108643,-0.5567094087600708,0.01995222270488739,-1.5254317671060562,0.1906391680240631,-0.3563307523727417,0.0043859779834747314,-20.90993002828644
322,cello,junco,0,1,cello,songbird,0.0006570219993591309,0.7992020845413208,-0.6485679745674133,0.20859453082084656,-0.5253787338733673,0.31849828362464905,-0.8596848249435425,0.0025223195552825928,-1.4143035933375359,0.557141087949276,-0.6485679745674133,0.20859453082084656,-316.4848498593849
324,cello,junco,0,2,cello,bird,4.303455352783203e-05,0.24342381954193115,-1.2303959131240845,0.3237433135509491,-1.0679689645767212,0.16131636500358582,-1.449208714067936,0.5425561144948006,-2.0479077007621527,1.1412551011890173,-1.2303959131240845,0.3237433135509491,-7521.869113573407
338,cello,ostrich,0,0,cello,ratite,0.3193519115447998,2.2479950077831745,-0.12722128629684448,0.4465731978416443,0.2627221345901489,0.05662977695465088,-0.12140768766403198,0.4407595992088318,-1.1050679683685303,1.42441987991333,-0.12722128629684448,0.4465731978416443,-0.3983733358019917
354,cello,ostrich,2,2,musical instrument,bird,0.0010113716125488281,-0.13285648822784424,-4.463523417711258,1.217737466096878,-4.504298657178879,1.258512705564499,-4.686268478631973,1.4404825270175934,-4.662822559475899,1.4170366078615189,-4.463523417711258,1.217737466096878,-1203.045526874116
392,cello,marimba,0,0,cello,marimba,0.42152564227581024,1.3932162318378687,-0.9003267288208008,1.321852371096611,-0.6783927977085114,1.0999184399843216,-0.7805443108081818,1.202069953083992,-1.5342608243227005,1.9557864665985107,-0.9003267288208008,1.321852371096611,-2.1358765363832934
393,cello,marimba,0,0,cello,marimba,0.25709909200668335,1.6408151714131236,-0.9003267288208008,1.1574258208274841,-0.6783927977085114,0.9354918897151947,-0.7805443108081818,1.0376434028148651,-1.5342608243227005,1.7913599163293839,-0.9003267288208008,1.1574258208274841,-3.5018666219069985
394,cello,marimba,0,1,cello,percussion instrument,5.219325706362724,5.793361146003008,4.630634605884552,0.5886911004781723,4.830125868320465,0.3891998380422592,4.767646908760071,0.4516787976026535,3.751576781272888,1.4677489250898361,4.630634605884552,0.5886911004781723,0.8872093573772343
398,cello,marimba,1,1,string instrument,percussion instrument,4.9203126430511475,5.586930548772216,5.1956926882267,0.00012080371379852295,5.437871754169464,0.00015287846326828003,5.423043340444565,7.674098014831543e-06,4.520431309938431,0.3998813331127167,5.1956926882267,0.00012080371379852295,0.9999754479598021
44,junco,cello,0,0,sparrow,cello,0.002264469861984253,2.6860234681516886,-0.3490551710128784,0.016956448554992676,-0.5225365161895752,0.1565248966217041,-0.49384766817092896,0.12783604860305786,0.4747695326805115,0.0015676617622375488,-0.3490551710128784,0.016956448554992676,-6.488043378124054
454,marimba,boa constrictor,0,0,marimba,constrictor,2.041590929031372,4.762102849781513,4.411278992891312,0.00032272934913635254,4.4753492176532745,0.001871258020401001,4.495982974767685,0.00018170475959777832,3.8380938172340393,0.0015513896942138672,4.411278992891312,0.00032272934913635254,0.9998419226180195
462,marimba,boa constrictor,1,1,percussion instrument,snake,0.00021791458129882812,-1.6459174156188965,-5.071595549583435,0.019018858671188354,-5.119479387998581,0.02886497974395752,-5.072762608528137,0.017851799726486206,-5.214749068021774,0.12413465976715088,-5.071595549583435,0.019018858671188354,-86.27666849015317
472,marimba,cello,0,0,marimba,cello,0.43351227045059204,1.803957600146532,1.1180991232395172,0.00031489133834838867,1.4514466226100922,5.733966827392578e-05,1.7124985754489899,0.0006390810012817383,0.6003568172454834,0.036252737045288086,1.1180991232395172,0.00031489133834838867,0.9992736276229942
474,marimba,cello,0,1,marimba,string instrument,0.0017416179180145264,0.4163234680891037,-0.005823671817779541,0.0007870793342590332,0.16080105304718018,4.717707633972168e-05,-0.1246204674243927,0.0010640919208526611,-0.30101826786994934,0.0006716251373291016,-0.005823671817779541,0.0007870793342590332,0.5480757713170998
478,marimba,cello,1,1,percussion instrument,string instrument,0.004451751708984375,-1.784639596939087,-2.8776164054870605,0.0015156269073486328,-2.856259822845459,0.008823633193969727,-2.9681637287139893,0.03246641159057617,-2.8416807651519775,0.0008697509765625,-2.8776164054870605,0.0015156269073486328,0.6595437017994858
50,junco,cello,1,0,songbird,cello,0.004258632659912109,1.8159262966364622,1.0559399724006653,0.0007505267858505249,0.9919421672821045,0.0005972534418106079,0.824426606297493,0.003052845597267151,0.5707522183656693,0.0015080273151397705,1.0559399724006653,0.0007505267858505249,0.8237634363453141
56,junco,cello,2,0,bird,cello,1.6220487281680107,2.9141334570012987,1.0036208033561707,0.6184279248118401,0.9960624873638153,0.6259862408041954,0.9205127358436584,0.7015359923243523,0.5395004749298096,1.0825482532382011,1.0036208033561707,0.6184279248118401,0.6187365311088338
6,junco,ostrich,1,1,songbird,flightless bird,2.6286834478378296,4.086862847208977,3.5442135334014893,0.0005858540534973145,3.6582561135292053,0.0003057718276977539,3.662375509738922,0.0008934736251831055,3.542669355869293,0.0009583234786987305,3.5442135334014893,0.0005858540534973145,0.9997771302383407
