cell_id,anchor,target,la,lt,anchor_word_Q,target_word_Q,stratum_Q,n_Q,probe_Q,min_tgtbal_50_Q,dex_eroded_50_Q,crossed_50_any_Q,crossed_50_frac_Q,anchor_word_L,target_word_L,stratum_L,n_L,probe_L,min_tgtbal_50_L,dex_eroded_50_L,crossed_50_any_L,crossed_50_frac_L
"cello->junco(0,2)",cello,junco,0,2,cello,bird,wall_repl,1,1.147186279296875,4.303455352783203e-05,4.4258166424242145,True,1.0,cello,bird,wall_repl,1,5.351153373718262,1.7384778261184692,0.4882782430875041,False,0.0
"cello->marimba(0,0)",cello,marimba,0,0,cello,marimba,within_bucket,2,2.3429710268974304,0.3393123745918274,0.8511080759533463,False,0.0,cello,marimba,within_bucket,2,0.2852625250816345,0.0002423524856567,3.093354548532755,True,1.0
"cello->marimba(0,1)",cello,marimba,0,1,cello,percussion instrument,within_bucket,1,6.46205735206604,5.219325542449951,0.092756422411635,False,0.0,cello,percussion instrument,within_bucket,1,0.2686898708343506,5.7220458984375e-05,3.671699957450976,True,1.0
"cello->marimba(1,1)",cello,marimba,1,1,string instrument,percussion instrument,within_bucket,1,6.230503559112549,4.920312881469727,0.102530428118529,False,0.0,string instrument,percussion instrument,within_bucket,1,0.3612176179885864,0.0007929801940917,2.658506584113694,True,1.0
"cello->ostrich(0,0)",cello,ostrich,0,0,cello,ratite,cross_breadth,1,3.358315110206604,0.3193519115447998,1.0218519234421262,False,0.0,cello,ratite,cross_breadth,1,0.6354987621307373,0.0003426074981689,3.2683178454148214,True,1.0
"cello->ostrich(2,2)",cello,ostrich,2,2,musical instrument,bird,cross_breadth,1,1.1538532972335815,0.0010113716125488,3.0572398358568083,True,1.0,musical instrument,bird,cross_breadth,1,16.0051531791687,6.011334419250488,0.4252889458931255,False,0.0
"green iguana->boa constrictor(0,0)",green iguana,boa constrictor,0,0,iguana,constrictor,within_bucket,1,6.1682024002075195,4.205987453460693,0.1662906431478526,False,0.0,iguana,constrictor,within_bucket,1,0.649921178817749,0.0017108917236328,2.5796381640141046,True,1.0
"green iguana->boa constrictor(0,1)",green iguana,boa constrictor,0,1,iguana,snake,within_bucket,1,4.891030788421631,0.7740244269371033,0.8006457301405567,False,0.0,iguana,snake,within_bucket,1,6.946902275085449,2.2525534629821777,0.4891160820312937,False,0.0
"green iguana->boa constrictor(1,1)",green iguana,boa constrictor,1,1,lizard,snake,within_bucket,2,2.947825014591217,0.0059070438146591,2.702485313640326,True,1.0,lizard,snake,within_bucket,2,6.666776180267334,2.56497859954834,0.4180008935919392,False,0.0
"green iguana->cello(0,0)",green iguana,cello,0,0,iguana,cello,cross_breadth,2,4.390056550502777,0.0024282038211822,3.260054039200069,True,1.0,iguana,cello,cross_breadth,2,3.4309847950935364,1.3139309287071228,0.4474747018235264,False,0.0
"green iguana->cello(1,1)",green iguana,cello,1,1,lizard,string instrument,cross_breadth,1,2.5095285177230835,0.0028867721557617,2.9391796275949225,True,1.0,lizard,string instrument,cross_breadth,1,1.8964745998382568,0.3563251495361328,0.7261005543487894,False,0.0
"junco->boa constrictor(0,0)",junco,boa constrictor,0,0,sparrow,constrictor,wall_repl,1,5.291863441467285,3.407832622528076,0.1911303725080098,False,0.0,sparrow,constrictor,wall_repl,1,1.9882236123085024,0.0005769729614257,3.537309765836518,True,1.0
"junco->boa constrictor(0,1)",junco,boa constrictor,0,1,sparrow,snake,wall_repl,2,1.7907863706350329,0.0001516938209533,4.4317724070781646,True,1.0,sparrow,snake,wall_repl,2,9.340611696243286,0.7390867173671722,1.1042724150866152,False,0.0
"junco->boa constrictor(0,2)",junco,boa constrictor,0,2,sparrow,reptile,wall_repl,1,4.852149486541748,3.008894443511963,0.2075272199695548,False,0.0,sparrow,reptile,wall_repl,1,1.6489410996437073,0.0066523551940917,2.394229713104079,True,1.0
"junco->cello(0,0)",junco,cello,0,0,sparrow,cello,wall_repl,1,3.630637526512146,0.0022644698619842,3.2050163472396243,True,1.0,sparrow,cello,wall_repl,1,2.742067933082581,0.4990710020065307,0.7399158735941458,False,0.0
"junco->cello(1,0)",junco,cello,1,0,songbird,cello,wall_repl,1,2.2651326656341553,0.0042586326599121,2.7258234626879125,True,1.0,songbird,cello,wall_repl,1,3.3700013160705566,0.3261798024177551,1.0141730051559985,False,0.0
"junco->cello(2,0)",junco,cello,2,0,bird,cello,wall_repl,1,3.3130728006362915,1.6220487356185913,0.3101670803049327,False,0.0,bird,cello,wall_repl,1,2.205866813659668,0.0002455711364746,3.953401966864774,True,1.0
"junco->ostrich(0,0)",junco,ostrich,0,0,sparrow,ratite,within_bucket,2,5.631592512130737,1.5875166654586792,0.7071005260954153,False,0.0,sparrow,ratite,within_bucket,2,1.9949156045913696,0.2847820520401001,1.6674697690130655,True,0.5
"junco->ostrich(0,1)",junco,ostrich,0,1,sparrow,flightless bird,within_bucket,1,4.65808367729187,2.847850799560547,0.2136900532473572,False,0.0,sparrow,flightless bird,within_bucket,1,0.3545381426811218,5.245208740234375e-05,3.829900189016257,True,1.0
"junco->ostrich(1,1)",junco,ostrich,1,1,songbird,flightless bird,within_bucket,1,4.630526304244995,2.628683567047119,0.2458920454047235,False,0.0,songbird,flightless bird,within_bucket,1,0.3288828730583191,0.0007059574127197,2.6682627549212667,True,1.0
"marimba->boa constrictor(0,0)",marimba,boa constrictor,0,0,marimba,constrictor,cross_breadth,1,5.1761956214904785,2.041590929031372,0.4040419536182056,False,0.0,marimba,constrictor,cross_breadth,1,1.572641909122467,0.0012662410736083,3.0941134481280725,True,1.0
"marimba->boa constrictor(1,1)",marimba,boa constrictor,1,1,percussion instrument,snake,cross_breadth,1,2.7254369258880615,0.0002179145812988,4.097149844584109,True,1.0,percussion instrument,snake,cross_breadth,1,11.800506591796877,2.7805285453796387,0.6277732938460974,False,0.0
"marimba->cello(0,0)",marimba,cello,0,0,marimba,cello,within_bucket,1,2.433267831802368,0.433512270450592,0.7491885201375457,False,0.0,marimba,cello,within_bucket,1,1.97549307346344,0.490834891796112,0.6047400836015263,False,0.0
"marimba->cello(0,1)",marimba,cello,0,1,marimba,string instrument,within_bucket,1,0.9690838158130646,0.0017416179180145,2.745408456554806,True,1.0,marimba,string instrument,within_bucket,1,1.779529333114624,0.5631986856460571,0.4996435185422636,False,0.0
"marimba->cello(1,1)",marimba,cello,1,1,percussion instrument,string instrument,within_bucket,1,2.3856765031814575,0.0044517517089843,2.729080619067871,True,1.0,percussion instrument,string instrument,within_bucket,1,2.1474190950393677,0.7728545665740967,0.4438190331859201,False,0.0
"ostrich->green iguana(0,0)",ostrich,green iguana,0,0,ratite,iguana,cross_breadth,1,3.663241982460022,0.9168293476104736,0.6015771011990254,False,0.0,ratite,iguana,cross_breadth,1,2.6962504386901855,0.0007593631744384,3.550310696708186,True,1.0
"ostrich->green iguana(1,1)",ostrich,green iguana,1,1,flightless bird,lizard,cross_breadth,1,1.666602373123169,0.0001239776611328,4.128488556867297,True,1.0,flightless bird,lizard,cross_breadth,1,2.443018913269043,0.8794098496437073,0.4437355036563605,False,0.0
"ostrich->junco(0,0)",ostrich,junco,0,0,ratite,sparrow,within_bucket,1,3.268404006958008,0.0027762055397033,3.070884117772699,True,1.0,ratite,sparrow,within_bucket,1,1.488596737384796,0.0139588117599487,2.027928612135837,True,1.0
"ostrich->junco(0,1)",ostrich,junco,0,1,ratite,songbird,within_bucket,1,1.8139366507530212,0.0596729815006256,1.482844378376345,False,0.0,ratite,songbird,within_bucket,1,1.5937923192977903,0.1414945125579834,1.0516921321973471,False,0.0
"ostrich->junco(1,1)",ostrich,junco,1,1,flightless bird,songbird,within_bucket,1,1.747537612915039,0.0984027385711669,1.2494193468869548,True,1.0,flightless bird,songbird,within_bucket,1,3.0868395566940308,1.4324462413787842,0.3334357247321978,False,0.0
